Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instance242_m=2_n=15_l=15_c=5_s=1_1.txt,0.01285,38,31
adapted_instance242_m=2_n=15_l=15_c=5_s=1_2.txt,0.043855,38,30
adapted_instance242_m=2_n=15_l=15_c=5_s=1_3.txt,0.070635,41,31
adapted_instance242_m=2_n=15_l=15_c=5_s=1_4.txt,0.096007,36,32
adapted_instance242_m=2_n=15_l=15_c=5_s=1_5.txt,0.028909,34,30
adapted_instance242_m=2_n=15_l=15_c=5_s=1_6.txt,0.024343,39,31
adapted_instance242_m=2_n=15_l=15_c=5_s=1_7.txt,0.012524,39,33
adapted_instance242_m=2_n=15_l=15_c=5_s=1_8.txt,0.023118,37,31
adapted_instance242_m=2_n=15_l=15_c=5_s=1_9.txt,0.142478,42,32
adapted_instance242_m=2_n=15_l=15_c=5_s=1_10.txt,0.033835,36,33
adapted_instance244_m=2_n=15_l=15_c=5_s=0_1.txt,0.036371,39,32
adapted_instance244_m=2_n=15_l=15_c=5_s=0_2.txt,0.039804,38,33
adapted_instance244_m=2_n=15_l=15_c=5_s=0_3.txt,0.014445,40,31
adapted_instance244_m=2_n=15_l=15_c=5_s=0_4.txt,0.01184,38,34
adapted_instance244_m=2_n=15_l=15_c=5_s=0_5.txt,0.018968,38,31
adapted_instance244_m=2_n=15_l=15_c=5_s=0_6.txt,0.016087,37,32
adapted_instance244_m=2_n=15_l=15_c=5_s=0_7.txt,0.085664,39,31
adapted_instance244_m=2_n=15_l=15_c=5_s=0_8.txt,0.038067,37,33
adapted_instance244_m=2_n=15_l=15_c=5_s=0_9.txt,0.017175,42,32
adapted_instance244_m=2_n=15_l=15_c=5_s=0_10.txt,0.025303,36,32
adapted_instance246_m=2_n=15_l=15_c=5_s=2_1.txt,0.01175,41,33
adapted_instance246_m=2_n=15_l=15_c=5_s=2_2.txt,0.026402,40,33
adapted_instance246_m=2_n=15_l=15_c=5_s=2_3.txt,0.019931,40,33
adapted_instance246_m=2_n=15_l=15_c=5_s=2_4.txt,0.04742,38,36
adapted_instance246_m=2_n=15_l=15_c=5_s=2_5.txt,0.013872,41,35
adapted_instance246_m=2_n=15_l=15_c=5_s=2_6.txt,0.01648,39,34
adapted_instance246_m=2_n=15_l=15_c=5_s=2_7.txt,0.017262,40,34
adapted_instance246_m=2_n=15_l=15_c=5_s=2_8.txt,0.06007,38,34
adapted_instance246_m=2_n=15_l=15_c=5_s=2_9.txt,0.022804,41,32
adapted_instance246_m=2_n=15_l=15_c=5_s=2_10.txt,0.016471,43,32
adapted_instance248_m=2_n=15_l=15_c=5_s=1_1.txt,0.116772,39,32
adapted_instance248_m=2_n=15_l=15_c=5_s=1_2.txt,0.019345,37,31
adapted_instance248_m=2_n=15_l=15_c=5_s=1_3.txt,0.034234,40,34
adapted_instance248_m=2_n=15_l=15_c=5_s=1_4.txt,0.041391,39,33
adapted_instance248_m=2_n=15_l=15_c=5_s=1_5.txt,0.030079,39,32
adapted_instance248_m=2_n=15_l=15_c=5_s=1_6.txt,0.031054,39,32
adapted_instance248_m=2_n=15_l=15_c=5_s=1_7.txt,0.096137,38,31
adapted_instance248_m=2_n=15_l=15_c=5_s=1_8.txt,0.014774,38,33
adapted_instance248_m=2_n=15_l=15_c=5_s=1_9.txt,0.049719,39,32
adapted_instance248_m=2_n=15_l=15_c=5_s=1_10.txt,0.082796,38,31
adapted_instance250_m=2_n=15_l=15_c=5_s=0_1.txt,0.087903,40,32
adapted_instance250_m=2_n=15_l=15_c=5_s=0_2.txt,0.023972,40,33
adapted_instance250_m=2_n=15_l=15_c=5_s=0_3.txt,0.019151,39,32
adapted_instance250_m=2_n=15_l=15_c=5_s=0_4.txt,0.013661,38,33
adapted_instance250_m=2_n=15_l=15_c=5_s=0_5.txt,0.055671,39,33
adapted_instance250_m=2_n=15_l=15_c=5_s=0_6.txt,0.024801,39,31
adapted_instance250_m=2_n=15_l=15_c=5_s=0_7.txt,0.026257,39,34
adapted_instance250_m=2_n=15_l=15_c=5_s=0_8.txt,0.027094,41,35
adapted_instance250_m=2_n=15_l=15_c=5_s=0_9.txt,0.026353,38,33
adapted_instance250_m=2_n=15_l=15_c=5_s=0_10.txt,0.024679,40,35
adapted_instance252_m=2_n=15_l=15_c=5_s=2_1.txt,0.055263,40,34
adapted_instance252_m=2_n=15_l=15_c=5_s=2_2.txt,0.076302,38,35
adapted_instance252_m=2_n=15_l=15_c=5_s=2_3.txt,0.024568,39,35
adapted_instance252_m=2_n=15_l=15_c=5_s=2_4.txt,0.011473,40,34
adapted_instance252_m=2_n=15_l=15_c=5_s=2_5.txt,0.033814,40,35
adapted_instance252_m=2_n=15_l=15_c=5_s=2_6.txt,0.089238,39,35
adapted_instance252_m=2_n=15_l=15_c=5_s=2_7.txt,0.012259,39,36
adapted_instance252_m=2_n=15_l=15_c=5_s=2_8.txt,0.029271,41,35
adapted_instance252_m=2_n=15_l=15_c=5_s=2_9.txt,0.096126,40,35
adapted_instance252_m=2_n=15_l=15_c=5_s=2_10.txt,0.026953,40,34
adapted_instance254_m=2_n=15_l=15_c=5_s=1_1.txt,0.013169,39,32
adapted_instance254_m=2_n=15_l=15_c=5_s=1_2.txt,0.083561,39,34
adapted_instance254_m=2_n=15_l=15_c=5_s=1_3.txt,0.01437,40,35
adapted_instance254_m=2_n=15_l=15_c=5_s=1_4.txt,0.148637,39,34
adapted_instance254_m=2_n=15_l=15_c=5_s=1_5.txt,0.029689,39,34
adapted_instance254_m=2_n=15_l=15_c=5_s=1_6.txt,0.026599,36,33
adapted_instance254_m=2_n=15_l=15_c=5_s=1_7.txt,0.053317,36,34
adapted_instance254_m=2_n=15_l=15_c=5_s=1_8.txt,0.29923,37,33
adapted_instance254_m=2_n=15_l=15_c=5_s=1_9.txt,0.075146,38,34
adapted_instance254_m=2_n=15_l=15_c=5_s=1_10.txt,0.024746,43,34
adapted_instance256_m=2_n=15_l=15_c=5_s=0_1.txt,0.017786,40,34
adapted_instance256_m=2_n=15_l=15_c=5_s=0_2.txt,0.039903,38,32
adapted_instance256_m=2_n=15_l=15_c=5_s=0_3.txt,0.079373,40,34
