Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instance100_m=2_n=8_l=15_c=10_s=0_1.txt,0.003241,39,36
adapted_instance100_m=2_n=8_l=15_c=10_s=0_2.txt,0.030631,40,36
adapted_instance100_m=2_n=8_l=15_c=10_s=0_3.txt,0.084302,39,37
adapted_instance100_m=2_n=8_l=15_c=10_s=0_4.txt,0.027638,40,36
adapted_instance100_m=2_n=8_l=15_c=10_s=0_5.txt,0.031414,39,36
adapted_instance100_m=2_n=8_l=15_c=10_s=0_6.txt,0.043375,39,36
adapted_instance100_m=2_n=8_l=15_c=10_s=0_7.txt,0.068063,37,37
adapted_instance100_m=2_n=8_l=15_c=10_s=0_8.txt,0.037354,40,36
adapted_instance100_m=2_n=8_l=15_c=10_s=0_9.txt,0.137788,40,37
adapted_instance100_m=2_n=8_l=15_c=10_s=0_10.txt,0.005472,41,36
adapted_instance102_m=2_n=8_l=15_c=10_s=2_1.txt,0.440435,35,32
adapted_instance102_m=2_n=8_l=15_c=10_s=2_2.txt,0.105231,32,31
adapted_instance102_m=2_n=8_l=15_c=10_s=2_3.txt,0.063371,37,31
adapted_instance102_m=2_n=8_l=15_c=10_s=2_4.txt,0.180471,34,31
adapted_instance102_m=2_n=8_l=15_c=10_s=2_5.txt,0.002047,35,31
adapted_instance102_m=2_n=8_l=15_c=10_s=2_6.txt,0.032158,31,31
adapted_instance102_m=2_n=8_l=15_c=10_s=2_7.txt,0.002679,34,31
adapted_instance102_m=2_n=8_l=15_c=10_s=2_8.txt,0.030162,35,31
adapted_instance102_m=2_n=8_l=15_c=10_s=2_9.txt,0.027603,35,33
adapted_instance102_m=2_n=8_l=15_c=10_s=2_10.txt,0.002186,34,32
adapted_instance104_m=2_n=8_l=15_c=10_s=1_1.txt,0.003005,34,32
adapted_instance104_m=2_n=8_l=15_c=10_s=1_2.txt,0.013783,36,32
adapted_instance104_m=2_n=8_l=15_c=10_s=1_3.txt,0.011293,39,32
adapted_instance104_m=2_n=8_l=15_c=10_s=1_4.txt,0.012637,35,33
adapted_instance104_m=2_n=8_l=15_c=10_s=1_5.txt,0.045347,36,31
adapted_instance104_m=2_n=8_l=15_c=10_s=1_6.txt,0.07728,36,31
adapted_instance104_m=2_n=8_l=15_c=10_s=1_7.txt,0.004089,33,32
adapted_instance104_m=2_n=8_l=15_c=10_s=1_8.txt,0.071876,37,32
adapted_instance104_m=2_n=8_l=15_c=10_s=1_9.txt,0.005379,33,33
adapted_instance104_m=2_n=8_l=15_c=10_s=1_10.txt,0.002745,37,32
adapted_instance106_m=2_n=8_l=15_c=10_s=0_1.txt,0.008687,33,32
adapted_instance106_m=2_n=8_l=15_c=10_s=0_2.txt,0.059613,39,32
adapted_instance106_m=2_n=8_l=15_c=10_s=0_3.txt,0.004144,37,33
adapted_instance106_m=2_n=8_l=15_c=10_s=0_4.txt,0.038077,36,33
adapted_instance106_m=2_n=8_l=15_c=10_s=0_5.txt,0.051052,35,34
adapted_instance106_m=2_n=8_l=15_c=10_s=0_6.txt,0.008295,37,32
adapted_instance106_m=2_n=8_l=15_c=10_s=0_7.txt,0.002076,34,33
adapted_instance106_m=2_n=8_l=15_c=10_s=0_8.txt,0.017389,39,32
adapted_instance106_m=2_n=8_l=15_c=10_s=0_9.txt,0.029109,39,32
adapted_instance106_m=2_n=8_l=15_c=10_s=0_10.txt,0.026431,34,32
adapted_instance108_m=2_n=8_l=15_c=10_s=2_1.txt,0.002394,36,32
adapted_instance108_m=2_n=8_l=15_c=10_s=2_2.txt,0.025625,34,31
adapted_instance108_m=2_n=8_l=15_c=10_s=2_3.txt,0.004371,35,31
adapted_instance108_m=2_n=8_l=15_c=10_s=2_4.txt,0.021081,36,31
adapted_instance108_m=2_n=8_l=15_c=10_s=2_5.txt,0.005027,34,32
adapted_instance108_m=2_n=8_l=15_c=10_s=2_6.txt,0.028833,37,31
adapted_instance108_m=2_n=8_l=15_c=10_s=2_7.txt,0.003424,36,30
adapted_instance108_m=2_n=8_l=15_c=10_s=2_8.txt,0.026081,37,31
adapted_instance108_m=2_n=8_l=15_c=10_s=2_9.txt,0.010139,34,31
adapted_instance108_m=2_n=8_l=15_c=10_s=2_10.txt,0.009567,37,31
adapted_instance10_m=2_n=8_l=15_c=5_s=0_1.txt,0.019022,26,23
adapted_instance10_m=2_n=8_l=15_c=5_s=0_2.txt,0.026488,24,22
adapted_instance10_m=2_n=8_l=15_c=5_s=0_3.txt,0.022189,23,21
adapted_instance10_m=2_n=8_l=15_c=5_s=0_4.txt,0.032816,24,22
adapted_instance10_m=2_n=8_l=15_c=5_s=0_5.txt,0.013767,26,21
adapted_instance10_m=2_n=8_l=15_c=5_s=0_6.txt,0.026318,26,23
adapted_instance10_m=2_n=8_l=15_c=5_s=0_7.txt,0.082138,25,21
adapted_instance10_m=2_n=8_l=15_c=5_s=0_8.txt,0.004346,29,20
adapted_instance10_m=2_n=8_l=15_c=5_s=0_9.txt,0.004038,24,21
adapted_instance10_m=2_n=8_l=15_c=5_s=0_10.txt,0.005681,27,21
adapted_instance110_m=2_n=8_l=15_c=10_s=1_1.txt,0.002154,36,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_2.txt,0.006031,40,34
adapted_instance110_m=2_n=8_l=15_c=10_s=1_3.txt,0.047197,39,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_4.txt,0.01417,40,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_5.txt,0.006596,40,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_6.txt,0.003307,40,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_7.txt,0.012401,38,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_8.txt,0.129482,36,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_9.txt,0.00946,41,33
adapted_instance110_m=2_n=8_l=15_c=10_s=1_10.txt,0.001428,33,33
adapted_instance112_m=2_n=8_l=15_c=10_s=0_1.txt,0.011824,35,33
adapted_instance112_m=2_n=8_l=15_c=10_s=0_2.txt,0.00488,36,34
adapted_instance112_m=2_n=8_l=15_c=10_s=0_3.txt,0.029926,37,33
adapted_instance112_m=2_n=8_l=15_c=10_s=0_4.txt,0.008427,36,33
adapted_instance112_m=2_n=8_l=15_c=10_s=0_5.txt,0.065282,36,34
adapted_instance112_m=2_n=8_l=15_c=10_s=0_6.txt,0.018396,36,33
adapted_instance112_m=2_n=8_l=15_c=10_s=0_7.txt,0.031374,36,33
adapted_instance112_m=2_n=8_l=15_c=10_s=0_8.txt,0.004987,38,34
adapted_instance112_m=2_n=8_l=15_c=10_s=0_9.txt,0.005654,36,34
adapted_instance112_m=2_n=8_l=15_c=10_s=0_10.txt,0.003057,38,34
adapted_instance114_m=2_n=8_l=15_c=10_s=2_1.txt,0.05857,34,29
adapted_instance114_m=2_n=8_l=15_c=10_s=2_2.txt,0.003054,35,29
adapted_instance114_m=2_n=8_l=15_c=10_s=2_3.txt,0.003871,33,29
adapted_instance114_m=2_n=8_l=15_c=10_s=2_4.txt,0.010201,31,28
adapted_instance114_m=2_n=8_l=15_c=10_s=2_5.txt,0.005173,34,29
adapted_instance114_m=2_n=8_l=15_c=10_s=2_6.txt,0.032823,35,29
