Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_1.txt,48.7126,412,363
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_2.txt,63.344,420,361
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_3.txt,52.7532,400,356
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_4.txt,64.9326,410,351
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_5.txt,44.3093,413,366
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_6.txt,58.4178,417,360
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_7.txt,67.5141,413,355
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_8.txt,56.0217,411,362
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_9.txt,50.5337,417,358
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_10.txt,74.1719,412,344
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_1.txt,72.0384,815,720
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_2.txt,97.7641,825,715
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_3.txt,64.5464,805,723
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_4.txt,61.1067,791,716
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_5.txt,92.7852,804,710
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_6.txt,85.3522,811,728
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_7.txt,72.8992,801,718
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_8.txt,83.7347,820,722
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_9.txt,87.6259,806,714
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_10.txt,82.2635,811,714
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_1.txt,121.721,1353,1241
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_2.txt,131,1342,1222
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_3.txt,134.939,1345,1230
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_4.txt,111.696,1358,1229
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_5.txt,148.875,1351,1240
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_6.txt,143.834,1332,1228
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_7.txt,142.548,1336,1244
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_8.txt,139.535,1349,1234
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_9.txt,146.895,1360,1232
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_10.txt,148.691,1361,1240
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_1.txt,139.178,1367,1259
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_2.txt,103.289,1382,1268
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_3.txt,137.213,1400,1266
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_4.txt,88.7963,1363,1268
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_5.txt,110.842,1374,1259
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_6.txt,129.188,1373,1254
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_7.txt,196.719,1383,1239
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_8.txt,133.802,1375,1264
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_9.txt,159.939,1394,1255
adapted_instanceLarge462_m=4_n=100_l=40_c=30_s=2_10.txt,122.03,1389,1261
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_1.txt,122.205,1312,1184
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_2.txt,158.456,1287,1173
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_3.txt,172.127,1322,1177
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_4.txt,122.814,1305,1182
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_5.txt,124.225,1304,1189
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_6.txt,162.703,1294,1182
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_7.txt,145.969,1286,1173
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_8.txt,138.722,1293,1182
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_9.txt,142.31,1307,1169
adapted_instanceLarge474_m=4_n=100_l=40_c=30_s=2_10.txt,151.638,1281,1163
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_1.txt,69.3687,406,346
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_2.txt,55.1858,400,347
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_3.txt,64.9869,398,337
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_4.txt,62.3201,403,344
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_5.txt,69.3104,398,335
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_6.txt,47.2547,402,354
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_7.txt,55.368,393,339
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_8.txt,69.2836,401,355
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_9.txt,62.6224,412,343
adapted_instanceLarge482_m=5_n=100_l=30_c=10_s=1_10.txt,74.2406,405,346
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_1.txt,90.0961,862,779
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_2.txt,69.1407,877,789
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_3.txt,68.8779,867,794
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_4.txt,62.1246,877,790
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_5.txt,96.859,866,779
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_6.txt,114.811,862,761
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_7.txt,110.664,872,777
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_8.txt,107.098,870,772
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_9.txt,90.2432,876,775
adapted_instanceLarge516_m=5_n=100_l=30_c=20_s=2_10.txt,86.8479,869,773
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_1.txt,87.1191,713,646
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_2.txt,120.359,729,633
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_3.txt,143.667,716,632
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_4.txt,110.068,717,636
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_5.txt,124.177,725,639
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_6.txt,91.7577,711,631
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_7.txt,119.097,711,635
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_8.txt,157.877,713,615
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_9.txt,116.115,721,628
adapted_instanceLarge546_m=5_n=100_l=40_c=20_s=2_10.txt,120.949,717,636
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_1.txt,65.8717,771,703
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_2.txt,113.383,758,681
adapted_instanceLarge558_m=5_n=100_l=40_c=20_s=2_3.txt,87.171,780,703
