Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_1.txt,126.975,1595,1429
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_2.txt,97.9739,1593,1422
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_3.txt,147.081,1582,1418
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_4.txt,121.375,1608,1406
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_5.txt,148.828,1618,1435
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_6.txt,99.6971,1623,1454
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_7.txt,122.61,1597,1414
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_8.txt,122.169,1631,1434
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_9.txt,99.8545,1610,1428
adapted_instanceLarge1000_m=7_n=200_l=30_c=20_s=0_10.txt,146.744,1594,1409
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_1.txt,73.7354,1643,1454
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_2.txt,99.4175,1603,1438
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_3.txt,121.19,1627,1455
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_4.txt,97.7852,1613,1452
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_5.txt,98.6578,1649,1452
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_6.txt,148.053,1610,1443
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_7.txt,195.963,1638,1416
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_8.txt,122.404,1604,1447
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_9.txt,99.1362,1626,1431
adapted_instanceLarge1002_m=7_n=200_l=30_c=20_s=2_10.txt,97.6273,1609,1457
adapted_instanceLarge1004_m=7_n=200_l=30_c=20_s=1_1.txt,123.385,1641,1479
adapted_instanceLarge1004_m=7_n=200_l=30_c=20_s=1_2.txt,123.255,1672,1457
adapted_instanceLarge1004_m=7_n=200_l=30_c=20_s=1_3.txt,99.0816,1650,1477
adapted_instanceLarge1004_m=7_n=200_l=30_c=20_s=1_4.txt,122.708,1639,1471
adapted_instanceLarge1004_m=7_n=200_l=30_c=20_s=1_5.txt,99.7236,1671,1470
adapted_instanceLarge1004_m=7_n=200_l=30_c=20_s=1_6.txt,98.9329,1630,1457
adapted_instanceLarge1004_m=7_n=200_l=30_c=20_s=1_7.txt,197.515,1673,1458
