Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instance1014_m=3_n=25_l=15_c=10_s=2_4.txt,0.095191,48,44
adapted_instance1014_m=3_n=25_l=15_c=10_s=2_5.txt,0.089637,48,44
adapted_instance1014_m=3_n=25_l=15_c=10_s=2_6.txt,0.056491,47,43
adapted_instance1014_m=3_n=25_l=15_c=10_s=2_7.txt,0.058854,47,45
adapted_instance1014_m=3_n=25_l=15_c=10_s=2_8.txt,0.069418,46,44
adapted_instance1014_m=3_n=25_l=15_c=10_s=2_9.txt,0.030938,44,44
adapted_instance1014_m=3_n=25_l=15_c=10_s=2_10.txt,0.02963,44,44
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_1.txt,0.10806,45,39
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_2.txt,0.099171,46,42
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_3.txt,0.062246,46,41
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_4.txt,0.050752,47,40
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_5.txt,0.102494,46,42
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_6.txt,0.115037,47,43
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_7.txt,0.107287,45,39
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_8.txt,0.069624,46,40
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_9.txt,0.287106,44,40
adapted_instance1016_m=3_n=25_l=15_c=10_s=1_10.txt,0.065033,46,39
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_1.txt,0.497177,53,48
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_2.txt,0.048353,54,48
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_3.txt,0.068209,55,48
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_4.txt,0.075905,52,48
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_5.txt,0.055915,54,48
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_6.txt,0.066114,54,48
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_7.txt,0.060934,53,49
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_8.txt,0.076293,53,50
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_9.txt,0.056007,52,49
adapted_instance1018_m=3_n=25_l=15_c=10_s=0_10.txt,0.077022,51,48
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_1.txt,0.070075,55,51
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_2.txt,0.096419,56,50
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_3.txt,0.059969,56,50
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_4.txt,0.129538,55,50
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_5.txt,0.060339,55,50
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_6.txt,0.059615,54,51
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_7.txt,0.086214,53,50
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_8.txt,0.305379,55,50
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_9.txt,0.059968,52,50
adapted_instance1020_m=3_n=25_l=15_c=10_s=2_10.txt,0.074729,55,50
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_1.txt,0.131809,58,54
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_2.txt,0.060659,60,55
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_3.txt,0.056751,58,54
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_4.txt,0.074143,62,54
