Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_9.txt,11.0169,246,190
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_10.txt,7.70777,239,198
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_1.txt,6.2114,254,209
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_2.txt,9.16536,243,199
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_3.txt,5.74963,249,209
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_4.txt,7.00067,257,201
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_5.txt,9.85515,245,203
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_6.txt,7.70479,249,209
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_7.txt,6.84909,250,209
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_8.txt,7.22003,252,205
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_9.txt,9.0668,261,205
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_10.txt,11.6774,255,204
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_1.txt,6.20182,385,357
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_2.txt,7.0422,405,355
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_3.txt,6.63912,394,355
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_4.txt,6.93073,383,351
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_5.txt,9.47025,394,351
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_6.txt,5.06002,388,362
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_7.txt,6.99826,399,356
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_8.txt,5.92302,385,356
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_9.txt,7.81468,393,361
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_10.txt,11.0153,392,354
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_1.txt,5.99514,300,264
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_2.txt,5.51193,293,266
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_3.txt,4.52429,295,269
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_4.txt,7.54993,308,263
