Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_9.txt,5.24545,237,199
adapted_instanceLarge258_m=5_n=50_l=30_c=10_s=2_10.txt,6.48201,248,192
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_1.txt,6.3134,249,203
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_2.txt,5.09367,250,205
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_3.txt,5.00842,247,208
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_4.txt,4.99118,254,204
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_5.txt,6.53915,243,204
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_6.txt,6.57019,248,206
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_7.txt,4.74141,253,213
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_8.txt,5.21422,247,207
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_9.txt,8.10474,249,204
adapted_instanceLarge270_m=5_n=50_l=30_c=10_s=2_10.txt,7.03187,254,199
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_1.txt,4.01253,389,356
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_2.txt,3.89807,382,357
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_3.txt,4.23493,390,357
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_4.txt,4.41112,396,358
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_5.txt,3.60128,390,355
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_6.txt,3.51633,389,356
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_7.txt,3.7348,388,362
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_8.txt,4.88012,395,362
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_9.txt,4.34662,392,355
adapted_instanceLarge276_m=5_n=50_l=30_c=20_s=2_10.txt,5.28585,392,357
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_1.txt,4.60419,300,261
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_2.txt,5.54632,304,260
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_3.txt,3.2858,293,265
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_4.txt,5.47364,306,266
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_5.txt,4.06588,295,265
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_6.txt,2.82246,301,267
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_7.txt,3.79929,301,264
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_8.txt,4.57066,304,263
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_9.txt,5.69326,301,262
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_10.txt,3.97127,297,263
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_1.txt,6.51997,327,287
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_2.txt,3.38029,314,287
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_3.txt,2.96226,327,297
