Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_1.txt,70.7982,411,333
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_2.txt,88.8507,409,338
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_3.txt,78.5049,406,336
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_4.txt,69.6299,424,340
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_5.txt,72.2085,405,339
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_6.txt,80.3813,418,341
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_7.txt,54.2194,411,347
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_8.txt,73.1451,403,344
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_9.txt,69.7875,407,346
adapted_instanceLarge390_m=4_n=100_l=30_c=10_s=2_10.txt,69.3673,414,348
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_1.txt,106.389,819,706
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_2.txt,107.786,817,699
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_3.txt,71.8153,807,710
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_4.txt,105.439,814,713
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_5.txt,91.1844,795,713
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_6.txt,96.5749,809,703
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_7.txt,86.9254,812,719
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_8.txt,122.766,816,702
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_9.txt,78.3018,814,711
adapted_instanceLarge416_m=4_n=100_l=30_c=20_s=1_10.txt,99.1653,810,705
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_1.txt,149.667,1367,1208
adapted_instanceLarge460_m=4_n=100_l=40_c=30_s=0_2.txt,134.155,1355,1234
